# data = ppd03_1st15_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	
T0000000_ch1	1	1	0	0	
T0000001_ch1	2	2	0	0	
T0000002_ch1	5	1	2	0	
T0000003_ch1	9	2	1	0	
T0000004_ch1	16	4	4	0	
T0000005_ch1	14	1	0	1	
T0000006_ch1	13	1	1	0	
T0000007_ch1	5	1	0	0	
T0000008_ch1	6	2	1	0	
T0000009_ch1	6	2	1	0	
T0000010_ch1	3	1	1	0	
T0000011_ch1	7	0	1	0	
T0000012_ch1	2	2	1	0	
T0000013_ch1	8	0	1	0	
T0000014_ch1	6	0	0	0	
T0000015_ch1	4	1	1	0	
T0000016_ch1	8	1	0	0	
T0000017_ch1	5	0	1	0	
T0000018_ch1	5	0	0	0	
T0000019_ch1	2	4	0	0	
T0000020_ch1	4	0	0	1	
T0000021_ch1	1	1	1	0	
T0000022_ch1	4	1	0	0	
T0000023_ch1	6	5	2	0	
T0000024_ch1	6	3	3	0	
T0000025_ch1	3	3	0	0	
T0000026_ch1	5	6	1	0	
T0000027_ch1	8	1	1	1	
T0000028_ch1	8	1	0	0	
T0000029_ch1	3	0	1	0	
T0000030_ch1	4	3	0	0	
T0000031_ch1	2	0	1	0	
T0000032_ch1	4	0	1	0	
T0000033_ch1	4	2	0	0	
T0000034_ch1	6	1	0	2	
T0000035_ch1	3	0	1	0	
T0000036_ch1	4	5	0	0	
T0000037_ch1	8	0	0	1	
T0000038_ch1	4	1	1	0	
T0000039_ch1	4	3	0	0	
T0000040_ch1	0	3	0	0	
T0000041_ch1	1	2	1	0	
T0000042_ch1	5	1	0	0	
T0000043_ch1	7	1	0	0	
T0000044_ch1	3	2	1	0	
T0000045_ch1	7	4	2	0	
T0000046_ch1	4	2	0	0	
T0000047_ch1	3	1	1	0	
T0000048_ch1	5	3	2	0	
T0000049_ch1	12	2	2	0	
T0000050_ch1	5	0	0	0	
T0000051_ch1	11	0	0	0	
T0000052_ch1	4	2	1	0	
T0000053_ch1	11	7	2	0	
T0000054_ch1	9	4	3	0	
T0000055_ch1	11	3	0	1	
T0000056_ch1	19	5	2	0	
T0000057_ch1	6	2	0	0	
T0000058_ch1	5	1	0	0	
T0000059_ch1	6	1	0	2	
T0000060_ch1	9	2	1	0	
T0000061_ch1	7	2	0	0	
T0000062_ch1	7	1	0	0	
T0000063_ch1	1	1	0	0	
T0000064_ch1	4	0	0	0	
T0000065_ch1	8	0	3	0	
T0000066_ch1	9	0	0	0	
T0000067_ch1	5	1	0	0	
T0000068_ch1	2	1	0	0	
T0000069_ch1	11	2	0	1	
T0000070_ch1	3	3	1	0	
T0000071_ch1	4	3	1	0	
T0000072_ch1	5	1	0	0	
T0000073_ch1	5	1	0	1	
T0000074_ch1	0	0	1	0	
T0000075_ch1	2	1	1	0	
T0000076_ch1	4	3	3	0	
T0000077_ch1	3	1	0	0	
T0000078_ch1	7	2	0	0	
T0000079_ch1	2	0	0	0	
T0000080_ch1	2	1	1	1	
T0000081_ch1	0	1	0	0	
T0000082_ch1	3	2	0	0	
T0000083_ch1	7	2	0	0	
T0000084_ch1	1	2	0	0	
T0000085_ch1	11	1	0	0	
T0000086_ch1	3	3	0	0	
T0000087_ch1	6	2	1	0	
